"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Josh Allen",BUF,"7","3 out of 5 stars","0"
"2",1,"Justin Herbert",LAC,"8","3 out of 5 stars","+1"
"3",1,"Patrick Mahomes II",KC,"8","2 out of 5 stars","-1"
"4",2,"Lamar Jackson",BAL,"10","2 out of 5 stars","0"
"5",2,"Joe Burrow",CIN,"10","2 out of 5 stars","+1"
"6",2,"Jalen Hurts",PHI,"7","4 out of 5 stars","+1"
"7",2,"Kyler Murray",ARI,"13","2 out of 5 stars","-2"
"8",2,"Tom Brady",TB,"11","3 out of 5 stars","+1"
"9",3,"Dak Prescott",DAL,"9","3 out of 5 stars","-1"
"10",3,"Russell Wilson",DEN,"9","4 out of 5 stars","0"
"11",3,"Trey Lance",SF,"9","3 out of 5 stars","+2"
"12",3,"Aaron Rodgers",GB,"14","2 out of 5 stars","-1"
"13",3,"Matthew Stafford",LAR,"7","3 out of 5 stars","-1"
"14",3,"Kirk Cousins",MIN,"7","3 out of 5 stars","0"
"15",3,"Derek Carr",LV,"6","2 out of 5 stars","0"
"16",4,"Justin Fields",CHI,"14","4 out of 5 stars","+1"
"17",4,"Tua Tagovailoa",MIA,"11","2 out of 5 stars","-1"
"18",4,"Trevor Lawrence",JAC,"11","5 out of 5 stars","+1"
"19",4,"Matt Ryan",IND,"14","3 out of 5 stars","+3"
"20",4,"Jameis Winston",NO,"14","3 out of 5 stars","+3"
"21",4,"Zach Wilson",NYJ,"10","1 out of 5 stars","+3"
"22",4,"Daniel Jones",NYG,"9","5 out of 5 stars","+5"
"23",4,"Mac Jones",NE,"10","4 out of 5 stars","-3"
"24",4,"Ryan Tannehill",TEN,"6","4 out of 5 stars","-3"
"25",4,"Jared Goff",DET,"6","3 out of 5 stars","+3"
"26",5,"Deshaun Watson",CLE,"9","4 out of 5 stars","-8"
"27",5,"Baker Mayfield",CAR,"13","3 out of 5 stars","-2"
"28",5,"Davis Mills",HOU,"6","4 out of 5 stars","+1"
"29",5,"Carson Wentz",WAS,"14","4 out of 5 stars","-3"
"30",5,"Marcus Mariota",ATL,"14","3 out of 5 stars","+2"
"31",5,"Mitch Trubisky",PIT,"9","3 out of 5 stars","+2"
"32",5,"Jimmy Garoppolo",SF,"9","3 out of 5 stars","-1"
"33",5,"Drew Lock",SEA,"11","3 out of 5 stars","+2"
"34",5,"Jacoby Brissett",CLE,"9","4 out of 5 stars","+2"
"35",5,"Desmond Ridder",ATL,"14","3 out of 5 stars","+5"
"36",5,"Kenny Pickett",PIT,"9","3 out of 5 stars","-6"
"37",5,"Geno Smith",SEA,"11","3 out of 5 stars","0"
"38",6,"Taysom Hill",NO,"14","3 out of 5 stars","-4"
"39",6,"Teddy Bridgewater",MIA,"11","2 out of 5 stars","-"
"40",6,"Sam Darnold",CAR,"13","3 out of 5 stars","-1"
"41",6,"Malik Willis",TEN,"6","4 out of 5 stars","-3"
"42",6,"Matt Corral",CAR,"13","3 out of 5 stars","+1"
"43",6,"Tyler Huntley",BAL,"10","2 out of 5 stars","-"
"44",6,"Taylor Heinicke",WAS,"14","4 out of 5 stars","-"
"45",6,"Gardner Minshew II",PHI,"7","4 out of 5 stars","-4"
"46",6,"Andy Dalton",NO,"14","3 out of 5 stars","-"
"47",6,"Jordan Love",GB,"14","2 out of 5 stars","-5"
"48",6,"Tyrod Taylor",NYG,"9","5 out of 5 stars","-"
"49",6,"Sam Howell",WAS,"14","4 out of 5 stars","-"
