"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Josh Allen",BUF,"QB1","7","3 out of 5 stars","-"
"2",1,"Jonathan Taylor",IND,"RB1","14","3 out of 5 stars","-"
"3",1,"Christian McCaffrey",CAR,"RB2","13","3 out of 5 stars","-"
"4",1,"Justin Herbert",LAC,"QB2","8","3 out of 5 stars","-"
"5",2,"Austin Ekeler",LAC,"RB3","8","2 out of 5 stars","-"
"6",2,"Najee Harris",PIT,"RB4","9","3 out of 5 stars","-"
"7",2,"Patrick Mahomes II",KC,"QB3","8","2 out of 5 stars","-"
"8",2,"Derrick Henry",TEN,"RB5","6","4 out of 5 stars","-"
"9",2,"Joe Mixon",CIN,"RB6","10","3 out of 5 stars","-"
"10",2,"Dalvin Cook",MIN,"RB7","7","4 out of 5 stars","-"
"11",3,"Cooper Kupp",LAR,"WR1","7","2 out of 5 stars","-"
"12",3,"Justin Jefferson",MIN,"WR2","7","2 out of 5 stars","-"
"13",3,"Lamar Jackson",BAL,"QB4","10","2 out of 5 stars","-"
"14",3,"Travis Kelce",KC,"TE1","8","3 out of 5 stars","-"
"15",3,"D'Andre Swift",DET,"RB8","6","4 out of 5 stars","-"
"16",3,"Ja'Marr Chase",CIN,"WR3","10","3 out of 5 stars","-"
"17",3,"Joe Burrow",CIN,"QB5","10","2 out of 5 stars","-"
"18",3,"Davante Adams",LV,"WR4","6","2 out of 5 stars","-"
"19",3,"Stefon Diggs",BUF,"WR5","7","4 out of 5 stars","-"
"20",4,"Jalen Hurts",PHI,"QB6","7","4 out of 5 stars","-"
"21",4,"CeeDee Lamb",DAL,"WR6","9","3 out of 5 stars","-"
"22",4,"Aaron Jones",GB,"RB9","14","3 out of 5 stars","-"
"23",4,"Alvin Kamara",NO,"RB10","14","3 out of 5 stars","-"
"24",4,"Kyler Murray",ARI,"QB7","13","2 out of 5 stars","-"
"25",4,"Saquon Barkley",NYG,"RB11","9","3 out of 5 stars","-"
"26",4,"Mark Andrews",BAL,"TE2","10","2 out of 5 stars","-"
"27",4,"Leonard Fournette",TB,"RB12","11","2 out of 5 stars","-"
"28",4,"Keenan Allen",LAC,"WR7","8","3 out of 5 stars","-"
"29",4,"Tom Brady",TB,"QB8","11","3 out of 5 stars","-"
"30",4,"Mike Evans",TB,"WR8","11","4 out of 5 stars","-"
"31",5,"Deebo Samuel",SF,"WR9","9","3 out of 5 stars","-"
"32",5,"Javonte Williams",DEN,"RB13","9","3 out of 5 stars","-"
"33",5,"Dak Prescott",DAL,"QB9","9","3 out of 5 stars","-"
"34",5,"Tyreek Hill",MIA,"WR10","11","2 out of 5 stars","-"
"35",5,"Russell Wilson",DEN,"QB10","9","4 out of 5 stars","-"
"36",5,"A.J. Brown",PHI,"WR11","7","4 out of 5 stars","-"
"37",5,"Kyle Pitts",ATL,"TE3","14","2 out of 5 stars","-"
"38",5,"DJ Moore",CAR,"WR12","13","3 out of 5 stars","-"
"39",5,"Nick Chubb",CLE,"RB14","9","3 out of 5 stars","-"
"40",5,"James Conner",ARI,"RB15","13","2 out of 5 stars","-"
"41",5,"Michael Pittman Jr.",IND,"WR13","14","4 out of 5 stars","-"
"42",5,"Tee Higgins",CIN,"WR14","10","3 out of 5 stars","-"
"43",5,"Breece Hall",NYJ,"RB16","10","4 out of 5 stars","-"
"44",6,"Ezekiel Elliott",DAL,"RB17","9","4 out of 5 stars","-"
"45",6,"Trey Lance",SF,"QB11","9","3 out of 5 stars","-"
"46",6,"Aaron Rodgers",GB,"QB12","14","2 out of 5 stars","-"
"47",6,"Jaylen Waddle",MIA,"WR15","11","2 out of 5 stars","-"
"48",6,"Diontae Johnson",PIT,"WR16","9","4 out of 5 stars","-"
"49",6,"Matthew Stafford",LAR,"QB13","7","3 out of 5 stars","-"
"50",6,"Travis Etienne Jr.",JAC,"RB18","11","3 out of 5 stars","-"
"51",6,"Kirk Cousins",MIN,"QB14","7","3 out of 5 stars","-"
"52",6,"Courtland Sutton",DEN,"WR17","9","4 out of 5 stars","-"
"53",6,"David Montgomery",CHI,"RB19","14","5 out of 5 stars","-"
"54",6,"Brandin Cooks",HOU,"WR18","6","3 out of 5 stars","-"
"55",6,"Derek Carr",LV,"QB15","6","2 out of 5 stars","-"
"56",6,"Cam Akers",LAR,"RB20","7","2 out of 5 stars","-"
"57",6,"Terry McLaurin",WAS,"WR19","14","4 out of 5 stars","-"
