"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Travis Kelce",KC,"8","3 out of 5 stars","0"
"2",1,"Mark Andrews",BAL,"10","2 out of 5 stars","0"
"3",1,"Kyle Pitts",ATL,"14","2 out of 5 stars","0"
"4",2,"Darren Waller",LV,"6","2 out of 5 stars","+1"
"5",2,"George Kittle",SF,"9","4 out of 5 stars","-1"
"6",2,"Dalton Schultz",DAL,"9","3 out of 5 stars","0"
"7",2,"T.J. Hockenson",DET,"6","4 out of 5 stars","0"
"8",2,"Dallas Goedert",PHI,"7","2 out of 5 stars","0"
"9",3,"Zach Ertz",ARI,"13","3 out of 5 stars","0"
"10",3,"Pat Freiermuth",PIT,"9","4 out of 5 stars","+1"
"11",3,"Cole Kmet",CHI,"14","5 out of 5 stars","+2"
"12",3,"Dawson Knox",BUF,"7","3 out of 5 stars","-2"
"13",3,"Mike Gesicki",MIA,"11","3 out of 5 stars","-1"
"14",3,"Albert Okwuegbunam",DEN,"9","3 out of 5 stars","+7"
"15",4,"Irv Smith Jr.",MIN,"7","3 out of 5 stars","+2"
"16",4,"Hunter Henry",NE,"10","4 out of 5 stars","-2"
"17",4,"Noah Fant",SEA,"11","2 out of 5 stars","-2"
"18",4,"Tyler Higbee",LAR,"7","3 out of 5 stars","+4"
"19",4,"David Njoku",CLE,"9","4 out of 5 stars","-3"
"20",4,"Robert Tonyan",GB,"14","1 out of 5 stars","-2"
"21",4,"Gerald Everett",LAC,"8","4 out of 5 stars","-1"
"22",4,"Logan Thomas",WAS,"14","4 out of 5 stars","+3"
"23",4,"Austin Hooper",TEN,"6","5 out of 5 stars","+3"
"24",4,"Evan Engram",JAC,"11","4 out of 5 stars","-5"
"25",4,"Brevin Jordan",HOU,"6","3 out of 5 stars","+6"
"26",4,"Hayden Hurst",CIN,"10","2 out of 5 stars","-2"
"27",5,"Jonnu Smith",NE,"10","4 out of 5 stars","+13"
"28",5,"Adam Trautman",NO,"14","4 out of 5 stars","+4"
"29",5,"C.J. Uzomah",NYJ,"10","3 out of 5 stars","-1"
"30",5,"Mo Alie-Cox",IND,"14","2 out of 5 stars","-1"
"31",5,"Greg Dulcich",DEN,"9","3 out of 5 stars","+2"
"32",5,"Cameron Brate",TB,"11","3 out of 5 stars","-9"
"33",5,"Tyler Conklin",NYJ,"10","3 out of 5 stars","+10"
"34",5,"Dan Arnold",JAC,"11","4 out of 5 stars","+12"
"35",5,"Trey McBride",ARI,"13","3 out of 5 stars","0"
"36",5,"Kyle Rudolph",TB,"11","3 out of 5 stars","-9"
"37",5,"O.J. Howard",BUF,"7","3 out of 5 stars","+2"
"38",6,"Daniel Bellinger",NYG,"9","4 out of 5 stars","+6"
"39",6,"Tommy Tremble",CAR,"13","3 out of 5 stars","+6"
"40",6,"Jared Cook",FA,"-","-","+7"
"41",6,"Harrison Bryant",CLE,"9","4 out of 5 stars","-"
"42",6,"Ricky Seals-Jones",NYG,"9","4 out of 5 stars","-4"
"43",6,"Anthony Firkser",ATL,"14","2 out of 5 stars","-"
"44",6,"Kylen Granson",IND,"14","2 out of 5 stars","-"
"45",6,"Donald Parham Jr.",LAC,"8","4 out of 5 stars","-11"
"46",6,"Jelani Woods",IND,"14","2 out of 5 stars","-10"
"47",6,"Foster Moreau",LV,"6","2 out of 5 stars","-5"
"48",7,"Josiah Deguara",GB,"14","1 out of 5 stars","-7"
"49",7,"Eric Ebron",FA,"-","-","-"
"50",7,"Jeremy Ruckert",NYJ,"10","3 out of 5 stars","-"
"51",7,"Cade Otton",TB,"11","3 out of 5 stars","-14"
"52",7,"Chris Herndon IV",NO,"14","4 out of 5 stars","-"
"53",7,"Juwan Johnson",NO,"14","4 out of 5 stars","-5"
"54",7,"Isaiah Likely",BAL,"10","2 out of 5 stars","-"
"55",7,"Jake Ferguson",DAL,"9","3 out of 5 stars","-"
"56",7,"James O'Shaughnessy",CHI,"14","5 out of 5 stars","-"
"57",7,"Chigoziem Okonkwo",TEN,"6","5 out of 5 stars","-"
