"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Cooper Kupp",LAR,"7","2 out of 5 stars","0"
"2",1,"Justin Jefferson",MIN,"7","2 out of 5 stars","0"
"3",1,"Ja'Marr Chase",CIN,"10","3 out of 5 stars","0"
"4",2,"Davante Adams",LV,"6","2 out of 5 stars","0"
"5",2,"Stefon Diggs",BUF,"7","4 out of 5 stars","0"
"6",2,"CeeDee Lamb",DAL,"9","3 out of 5 stars","+1"
"7",2,"Keenan Allen",LAC,"8","3 out of 5 stars","+3"
"8",2,"Mike Evans",TB,"11","4 out of 5 stars","+1"
"9",2,"Deebo Samuel",SF,"9","3 out of 5 stars","-3"
"10",3,"Tyreek Hill",MIA,"11","2 out of 5 stars","-2"
"11",3,"A.J. Brown",PHI,"7","4 out of 5 stars","0"
"12",3,"Michael Pittman Jr.",IND,"14","4 out of 5 stars","+1"
"13",3,"DJ Moore",CAR,"13","3 out of 5 stars","+4"
"14",3,"Tee Higgins",CIN,"10","3 out of 5 stars","-2"
"15",3,"Jaylen Waddle",MIA,"11","2 out of 5 stars","0"
"16",3,"Diontae Johnson",PIT,"9","4 out of 5 stars","-2"
"17",3,"Courtland Sutton",DEN,"9","4 out of 5 stars","+6"
"18",4,"Brandin Cooks",HOU,"6","3 out of 5 stars","+2"
"19",4,"Terry McLaurin",WAS,"14","4 out of 5 stars","-3"
"20",4,"Mike Williams",LAC,"8","3 out of 5 stars","-1"
"21",4,"DK Metcalf",SEA,"11","4 out of 5 stars","-3"
"22",4,"Allen Robinson II",LAR,"7","2 out of 5 stars","+7"
"23",4,"Darnell Mooney",CHI,"14","3 out of 5 stars","+3"
"24",4,"Michael Thomas",NO,"14","4 out of 5 stars","+9"
"25",4,"Amari Cooper",CLE,"9","4 out of 5 stars","-3"
"26",4,"JuJu Smith-Schuster",KC,"8","2 out of 5 stars","+9"
"27",4,"Jerry Jeudy",DEN,"9","4 out of 5 stars","0"
"28",5,"Marquise Brown",ARI,"13","2 out of 5 stars","-3"
"29",5,"Amon-Ra St. Brown",DET,"6","3 out of 5 stars","-5"
"30",5,"Chris Godwin",TB,"11","4 out of 5 stars","-9"
"31",5,"Elijah Moore",NYJ,"10","1 out of 5 stars","+3"
"32",5,"Rashod Bateman",BAL,"10","3 out of 5 stars","+6"
"33",5,"Adam Thielen",MIN,"7","2 out of 5 stars","-5"
"34",5,"DeVonta Smith",PHI,"7","4 out of 5 stars","+2"
"35",5,"Gabriel Davis",BUF,"7","4 out of 5 stars","-3"
"36",5,"Hunter Renfrow",LV,"6","2 out of 5 stars","-6"
"37",5,"Drake London",ATL,"14","4 out of 5 stars","+4"
"38",5,"DeAndre Hopkins",ARI,"13","2 out of 5 stars","-7"
"39",5,"Tyler Lockett",SEA,"11","4 out of 5 stars","-2"
"40",6,"Allen Lazard",GB,"14","3 out of 5 stars","+4"
"41",6,"Christian Kirk",JAC,"11","4 out of 5 stars","+1"
"42",6,"Brandon Aiyuk",SF,"9","3 out of 5 stars","-3"
"43",6,"Treylon Burks",TEN,"6","3 out of 5 stars","+2"
"44",6,"Jakobi Meyers",NE,"10","4 out of 5 stars","+10"
"45",6,"Chris Olave",NO,"14","4 out of 5 stars","+2"
"46",6,"Kadarius Toney",NYG,"9","4 out of 5 stars","+2"
"47",6,"Robert Woods",TEN,"6","3 out of 5 stars","-7"
"48",6,"Russell Gage",TB,"11","4 out of 5 stars","-2"
"49",6,"Tyler Boyd",CIN,"10","3 out of 5 stars","+1"
"50",6,"Skyy Moore",KC,"8","2 out of 5 stars","+1"
"51",6,"Garrett Wilson",NYJ,"10","1 out of 5 stars","-2"
"52",6,"Chase Claypool",PIT,"9","4 out of 5 stars","-9"
"53",7,"DeVante Parker",NE,"10","4 out of 5 stars","+3"
