"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"Cooper Kupp","LAR","WR1","4.1","23.9","0.1","121.6","1,591.7","12.4","0.6","357.0"
"Christian McCaffrey","CAR","RB1","238.5","1,058.4","7.5","89.2","759.8","4.1","1.4","337.7"
"Jonathan Taylor","IND","RB2","327.8","1,610.0","14.8","42.3","352.9","2.0","2.3","334.8"
"Austin Ekeler","LAC","RB3","220.7","982.6","9.4","74.5","664.9","5.3","1.5","324.9"
"Justin Jefferson","MIN","WR2","3.1","16.0","0.0","103.4","1,506.8","9.5","0.6","312.1"
"Ja'Marr Chase","CIN","WR3","8.5","49.9","0.2","91.5","1,416.0","10.5","0.6","300.8"
"Derrick Henry","TEN","RB4","374.9","1,681.8","13.1","27.5","216.2","0.9","2.4","296.4"
"Davante Adams","LV","WR4","0.0","0.0","0.0","107.2","1,330.5","9.2","0.5","294.8"
"Stefon Diggs","BUF","WR5","0.2","1.8","0.0","101.9","1,256.0","8.9","0.5","279.9"
"Deebo Samuel","SF","WR6","66.2","375.8","4.7","71.3","1,059.3","6.1","1.1","277.7"
"Travis Kelce","KC","TE1","0.0","0.0","0.0","101.7","1,210.0","9.3","0.5","277.7"
"Najee Harris","PIT","RB5","297.3","1,173.9","7.8","60.7","399.4","2.1","1.6","274.1"
"Joe Mixon","CIN","RB6","286.6","1,202.7","9.8","47.6","346.2","2.6","1.6","273.3"
"Mark Andrews","BAL","TE2","0.0","0.0","0.0","95.8","1,191.7","8.9","0.5","267.5"
"Dalvin Cook","MIN","RB7","276.0","1,248.8","9.9","45.0","336.1","1.5","2.6","266.5"
"CeeDee Lamb","DAL","WR7","5.8","43.8","0.1","91.7","1,245.7","7.7","0.5","266.2"
"Tyreek Hill","MIA","WR8","8.8","62.1","0.3","91.8","1,147.7","8.0","0.5","261.8"
"Aaron Jones","GB","RB8","192.3","914.7","6.1","61.1","500.9","3.9","1.2","260.1"
"Alvin Kamara","NO","RB9","218.9","892.8","7.5","55.6","490.7","3.8","1.2","259.7"
"Leonard Fournette","TB","RB10","222.1","936.0","8.9","60.6","412.8","2.1","1.3","259.0"
"Mike Evans","TB","WR9","0.2","1.4","0.0","82.4","1,136.0","10.1","0.5","255.9"
"D'Andre Swift","DET","RB11","215.4","908.8","6.6","65.4","479.4","2.5","1.9","254.8"
"Tee Higgins","CIN","WR10","0.2","0.8","0.0","85.3","1,193.9","7.8","0.5","250.8"
"Keenan Allen","LAC","WR11","0.4","1.8","0.0","99.6","1,085.7","6.9","0.5","248.5"
"Michael Pittman Jr.","IND","WR12","3.7","29.1","0.0","91.1","1,127.2","6.6","0.6","245.8"
"Saquon Barkley","NYG","RB12","236.6","989.7","6.4","56.5","414.2","2.2","1.5","245.2"
"James Conner","ARI","RB13","227.0","921.8","10.2","43.8","355.8","2.3","1.6","243.5"
"Diontae Johnson","PIT","WR13","4.2","31.9","0.1","95.9","1,059.6","6.1","1.0","240.2"
"Brandin Cooks","HOU","WR14","2.6","18.5","0.1","92.2","1,102.2","6.1","0.5","240.2"
"A.J. Brown","PHI","WR15","0.8","7.4","0.0","77.5","1,133.6","8.1","0.5","239.3"
"Javonte Williams","DEN","RB14","225.7","999.0","7.6","45.7","345.0","2.7","1.7","238.4"
