"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Josh Allen","BUF","598.5","380.7","4,335.8","34.6","15.8","118.5","717.1","6.3","3.8","398.0"
"Patrick Mahomes II","KC","637.1","420.5","4,736.1","35.4","13.1","65.1","381.3","3.0","3.6","366.8"
"Lamar Jackson","BAL","533.5","343.1","3,699.0","24.6","15.3","172.5","1,041.6","4.1","4.3","351.1"
"Justin Herbert","LAC","621.8","412.4","4,569.8","33.9","14.2","63.0","293.4","3.2","1.9","348.6"
"Jalen Hurts","PHI","480.8","294.1","3,465.4","24.6","12.7","142.1","774.0","8.8","3.4","347.4"
"Kyler Murray","ARI","568.7","384.9","4,153.7","26.7","14.0","98.0","482.2","5.1","3.0","331.8"
"Dak Prescott","DAL","618.2","414.3","4,602.2","33.2","12.7","52.5","191.7","2.6","5.5","327.9"
"Tom Brady","TB","672.2","444.6","4,737.0","33.9","13.0","28.4","50.1","2.1","3.2","323.3"
"Aaron Rodgers","GB","564.0","376.7","4,230.4","34.2","8.2","35.8","127.9","2.0","2.1","318.6"
"Russell Wilson","DEN","564.7","367.1","4,256.7","29.8","10.0","62.8","289.2","2.2","3.1","315.1"
"Matthew Stafford","LAR","583.9","395.4","4,583.3","32.9","15.4","38.0","82.1","1.7","2.7","312.7"
"Joe Burrow","CIN","558.7","374.5","4,341.8","30.0","14.0","46.0","160.8","2.4","2.3","305.5"
"Trey Lance","SF","482.8","303.2","3,768.0","23.7","14.9","110.3","509.4","4.2","2.0","302.6"
"Kirk Cousins","MIN","577.1","377.1","4,267.4","30.8","11.6","29.5","104.5","1.1","3.9","291.1"
"Derek Carr","LV","613.2","413.7","4,585.3","27.0","14.7","33.6","107.2","1.0","4.9","283.4"
"Tua Tagovailoa","MIA","584.6","387.1","4,000.6","24.8","15.2","52.7","180.1","3.1","2.7","275.0"
"Ryan Tannehill","TEN","517.4","342.1","3,661.5","24.6","16.4","54.4","265.5","4.2","3.5","273.2"
"Trevor Lawrence","JAC","589.0","373.8","3,935.5","22.6","14.8","70.8","329.8","2.1","4.1","270.0"
