"Rank","Player.Name","Position","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","Tier"
1,"Christian McCaffrey","RB",1,6,1.67,1.05,"1"
2,"Jonathan Taylor","RB",1,9,2.08,1.19,"1"
3,"Austin Ekeler","RB",1,10,3.36,1.44,"1"
4,"Dalvin Cook","RB",2,12,5.36,2.07,"2"
5,"Najee Harris","RB",1,13,6.31,2.6,"2"
6,"Derrick Henry","RB",2,13,6.62,2.79,"2"
7,"D'Andre Swift","RB",3,12,7.32,2.15,"2"
8,"Joe Mixon","RB",3,13,8.02,2.21,"2"
9,"Aaron Jones","RB",5,18,9.53,2.48,"3"
10,"Saquon Barkley","RB",2,16,9.55,2.87,"3"
11,"Alvin Kamara","RB",3,19,9.64,3.08,"3"
12,"Leonard Fournette","RB",5,23,11.36,2.68,"3"
13,"Javonte Williams","RB",6,24,13.25,2.63,"4"
14,"Nick Chubb","RB",7,18,14.34,2.06,"4"
15,"James Conner","RB",11,28,15.84,3.2,"4"
16,"Ezekiel Elliott","RB",6,25,16.39,2.99,"4"
17,"Travis Etienne Jr.","RB",10,31,17.92,3.42,"5"
18,"Breece Hall","RB",11,29,18.25,3.08,"5"
19,"David Montgomery","RB",12,29,19.37,3.32,"5"
20,"Cam Akers","RB",11,31,20.21,3.71,"5"
21,"J.K. Dobbins","RB",17,37,22.73,3.59,"6"
22,"Josh Jacobs","RB",16,34,23.53,3.7,"6"
23,"AJ Dillon","RB",17,30,23.64,2.97,"6"
24,"Elijah Mitchell","RB",16,38,24.04,3.61,"6"
25,"Antonio Gibson","RB",13,48,26.2,6.8,"7"
26,"Chase Edmonds","RB",16,39,27.1,5.03,"7"
27,"Clyde Edwards-Helaire","RB",19,40,28.24,4.27,"7"
28,"Kareem Hunt","RB",18,41,28.81,4.31,"7"
29,"Miles Sanders","RB",19,45,29.14,3.94,"7"
30,"Tony Pollard","RB",19,40,30.28,4.48,"8"
31,"Damien Harris","RB",22,40,31.12,3.99,"8"
32,"Rashaad Penny","RB",22,45,32.16,4.81,"9"
33,"Devin Singletary","RB",20,45,33.07,4.36,"9"
34,"Cordarrelle Patterson","RB",21,50,33.28,5.73,"9"
35,"Rhamondre Stevenson","RB",16,46,33.38,4.96,"9"
36,"Melvin Gordon III","RB",24,44,35.35,4.01,"9"
37,"Ken Walker III","RB",22,50,37.14,5.42,"10"
38,"James Cook","RB",28,90,40.34,8.18,"10"
39,"Dameon Pierce","RB",21,93,39.56,10.32,"10"
40,"Michael Carter","RB",27,55,41.66,4.99,"10"
