"Rank","Player.Name","Position","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","Tier"
1,"Travis Kelce","TE",1,2,1.12,0.32,"1"
2,"Mark Andrews","TE",1,4,2.04,0.44,"1"
3,"Kyle Pitts","TE",1,5,3.1,0.69,"1"
4,"George Kittle","TE",3,6,4.52,0.87,"2"
5,"Darren Waller","TE",3,7,4.84,0.89,"2"
6,"Dalton Schultz","TE",3,11,6.09,1.58,"2"
7,"T.J. Hockenson","TE",5,11,7.63,1.26,"3"
8,"Dallas Goedert","TE",5,14,7.91,1.56,"3"
9,"Zach Ertz","TE",7,15,9.19,1.68,"3"
10,"Pat Freiermuth","TE",7,17,11.26,2.15,"4"
11,"Cole Kmet","TE",8,22,12.13,3.49,"4"
12,"Dawson Knox","TE",7,21,12.29,2.6,"4"
13,"Mike Gesicki","TE",9,22,14.98,2.99,"5"
14,"Hunter Henry","TE",10,24,15.54,2.75,"5"
15,"Irv Smith Jr.","TE",9,28,16.63,4.02,"6"
16,"Noah Fant","TE",10,27,16.98,3.54,"6"
17,"Albert Okwuegbunam","TE",10,34,16.98,4.73,"6"
18,"Gerald Everett","TE",13,28,19.51,3.33,"7"
19,"Tyler Higbee","TE",12,25,19.91,2.85,"7"
20,"Robert Tonyan","TE",10,29,20.01,4.13,"7"
21,"David Njoku","TE",11,28,18.28,3.89,"6"
22,"Evan Engram","TE",12,31,21.18,3.94,"7"
23,"Austin Hooper","TE",11,33,21.69,4.13,"7"
24,"Logan Thomas","TE",10,35,23.62,4.84,"8"
25,"Hayden Hurst","TE",17,34,24.44,3.07,"8"
