"Rank","Player.Name","Position","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","Tier"
1,"Justin Jefferson","WR",1,4,1.61,0.71,"1"
2,"Cooper Kupp","WR",1,5,1.8,0.84,"1"
3,"Ja'Marr Chase","WR",1,9,3.32,1.19,"1"
4,"Stefon Diggs","WR",2,8,4.26,1.22,"1"
5,"Davante Adams","WR",2,9,4.9,1.27,"1"
6,"CeeDee Lamb","WR",4,9,5.87,1.12,"1"
7,"Mike Evans","WR",6,18,9.63,2.42,"2"
8,"Tyreek Hill","WR",6,20,9.74,3,"2"
9,"Keenan Allen","WR",6,18,9.92,2.95,"2"
10,"Deebo Samuel","WR",5,20,10.7,3.22,"2"
11,"Michael Pittman Jr.","WR",6,35,11.58,3.98,"2"
12,"A.J. Brown","WR",7,20,12.26,3.59,"2"
13,"Tee Higgins","WR",7,22,12.99,3.35,"2"
14,"DJ Moore","WR",6,25,13.76,3.79,"3"
15,"Diontae Johnson","WR",8,26,15.83,3.88,"3"
16,"Jaylen Waddle","WR",8,37,17.36,4.46,"4"
17,"Terry McLaurin","WR",11,33,18.92,3.95,"4"
18,"Mike Williams","WR",10,36,19.82,5.7,"4"
19,"Brandin Cooks","WR",12,30,19.96,3.92,"4"
20,"Courtland Sutton","WR",9,35,20.27,6.14,"4"
21,"Allen Robinson II","WR",10,37,22.42,5.38,"5"
22,"DK Metcalf","WR",7,31,22.68,4.98,"5"
23,"Michael Thomas","WR",11,42,24.84,5.91,"5"
24,"Marquise Brown","WR",15,44,25.28,5.81,"6"
25,"Darnell Mooney","WR",14,38,25.44,4.68,"6"
26,"Jerry Jeudy","WR",15,41,26.84,4.45,"6"
27,"Amon-Ra St. Brown","WR",16,43,27.66,5.34,"6"
28,"Rashod Bateman","WR",16,52,27.74,6.42,"6"
29,"Chris Godwin","WR",13,44,27.78,7.28,"6"
30,"Amari Cooper","WR",14,45,28.72,5.78,"6"
31,"JuJu Smith-Schuster","WR",13,48,28.85,6.19,"6"
32,"Elijah Moore","WR",20,51,31.79,4.98,"7"
33,"Adam Thielen","WR",24,41,32.97,4.57,"7"
34,"Gabriel Davis","WR",17,44,33.95,5.34,"7"
35,"DeVonta Smith","WR",28,49,36.86,4.38,"8"
36,"Hunter Renfrow","WR",22,58,37.52,6.8,"8"
37,"Brandon Aiyuk","WR",22,50,37.65,5.51,"8"
38,"Drake London","WR",20,90,38.32,9.58,"8"
39,"Tyler Lockett","WR",23,62,39.76,5.56,"9"
40,"Christian Kirk","WR",24,54,40.23,4.97,"9"
41,"Allen Lazard","WR",25,68,41.08,7.76,"9"
42,"DeAndre Hopkins","WR",15,59,41.37,6.63,"9"
43,"Robert Woods","WR",24,64,42.13,6.91,"9"
44,"Kadarius Toney","WR",30,62,43.53,5.93,"9"
45,"Treylon Burks","WR",31,76,48.14,9.59,"10"
46,"Chase Claypool","WR",27,68,48.66,6.27,"10"
47,"Chris Olave","WR",35,84,48.96,8.09,"10"
48,"Tyler Boyd","WR",39,74,51.22,5.94,"10"
49,"Russell Gage","WR",38,78,51.24,8.37,"10"
50,"Jakobi Meyers","WR",39,73,51.46,6.46,"10"
51,"Garrett Wilson","WR",38,79,51.49,8.16,"10"
52,"Skyy Moore","WR",32,105,53.08,11.4,"10"
53,"DeVante Parker","WR",42,95,56.27,9.51,"11"
54,"Jarvis Landry","WR",34,79,56.41,6.47,"11"
55,"Marquez Valdes-Scantling","WR",43,84,58.2,7.18,"12"
56,"Rondale Moore","WR",40,75,58.38,7.05,"12"
57,"Michael Gallup","WR",39,90,60.45,11.46,"12"
58,"Kenny Golladay","WR",36,92,59.49,8.83,"12"
59,"DJ Chark Jr.","WR",46,84,60.38,7.35,"12"
60,"George Pickens","WR",38,112,59.89,15.33,"12"
